wojewodztwo;dzietnosc;przyrostNat;medianaWiek;przecLiczOsob;malzenstwa
DOLNOSLASKIE;1.199;-13358;42.7;2.41;12312
KUJAWSKO-POMORSKIE;1.223;-9123;42.7;2.52;8110
LUBELSKIE;1.229;-9706;43.0;2.60;8000
LUBUSKIE;1.213;-4565;42.8;2.38;3967
LODZKIE;1.282;-15194;44.1;2.41;9325
MALOPOLSKIE;1.286;-4874;40.7;2.62;15404
MAZOWIECKIE;1.330;-12372;41.3;2.40;23475
OPOLSKIE;1.195;-4956;44.1;2.45;3467
PODKARPACKIE;1.246;-5123;41.7;2.75;8243
PODLASKIE;1.274;-4314;42.6;2.50;4591
POMORSKIE;1.317;-4463;40.7;2.44;10528
SLASKIE;1.213;-25097;43.8;2.41;17198
SWIETORZYSKIE;1.186;-7630;44.3;2.54;4369
WARMINSKO-MAZURSKIE;1.206;-6221;42.5;2.41;5360
WIELKOPOLSKIE;1.331;-7547;41.1;2.53;14698
ZACHODNIOPOMORSKIE;1.176;-8773;43.5;2.27;6770
